,status,distance,duration,geometry,type
67,Ok,2944.9,821.3,"[[-73.970363, 40.753179], [-73.969902, 40.752983], [-73.981765, 40.736567], [-73.989687, 40.739895], [-73.989533, 40.74034]]",LineString
68,Ok,765,198.3,"[[-73.9491, 40.713334], [-73.949245, 40.71332], [-73.949598, 40.715464], [-73.944615, 40.715939], [-73.944486, 40.715145]]",LineString
69,Ok,2228.8,600.9,"[[-73.971075, 40.801313], [-73.971253, 40.801071], [-73.971012, 40.800965], [-73.968647, 40.804206], [-73.967937, 40.804799], [-73.966967, 40.807593], [-73.966452, 40.808257], [-73.965805, 40.808823], [-73.964966, 40.808476], [-73.960687, 40.814192], [-73.958341, 40.81323], [-73.958399, 40.81361], [-73.958925, 40.814416]]",LineString
70,Ok,236.6,67.1,"[[-73.974057, 40.794136], [-73.973724, 40.794586], [-73.971862, 40.793805]]",LineString
71,Ok,2067.8,560.9,"[[-73.999179, 40.744718], [-73.978858, 40.736135], [-73.978446, 40.736678], [-73.978108, 40.736485]]",LineString
72,Ok,1302.8,407.8,"[[-73.989188, 40.763594], [-73.988862, 40.763456], [-73.988405, 40.764077], [-73.994173, 40.766505], [-73.990532, 40.771518]]",LineString
73,Ok,2033.2,548.3,"[[-73.991446, 40.722349], [-73.991591, 40.722393], [-73.993298, 40.719052], [-73.994265, 40.719356], [-73.994508, 40.71956], [-73.998196, 40.721063], [-74.003045, 40.715603], [-74.00316, 40.714753], [-74.003626, 40.71365], [-74.005594, 40.714548]]",LineString
74,Ok,2694.7,796.1,"[[-74.009193, 40.716256], [-74.010766, 40.716907], [-74.010923, 40.716304], [-74.013153, 40.717315], [-74.011312, 40.725879], [-74.010354, 40.735425], [-74.009831, 40.73539], [-74.009777, 40.735993], [-74.008582, 40.736156]]",LineString
75,Ok,3449.4,916.7,"[[-73.989404, 40.70251], [-73.989571, 40.702514], [-73.989734, 40.700743], [-73.986772, 40.700638], [-73.986324, 40.699859], [-73.985277, 40.69966], [-73.985242, 40.699409], [-73.9858, 40.699429], [-73.98625, 40.699806], [-73.994542, 40.714719], [-73.994748, 40.715604], [-73.994443, 40.7156], [-73.994365, 40.715725], [-73.994816, 40.715937], [-73.99436, 40.716946], [-73.999429, 40.718672], [-73.999234, 40.718913], [-73.999711, 40.719133]]",LineString
76,Ok,3949.3,977.5,"[[-73.968236, 40.802138], [-73.968562, 40.801643], [-73.962792, 40.799202], [-73.980994, 40.774286], [-73.98269, 40.774892]]",LineString
77,Ok,2988,776.5,"[[-74.007483, 40.742742], [-74.007705, 40.742834], [-74.007238, 40.74347], [-74.004329, 40.742245], [-74.005038, 40.741319], [-74.005677, 40.737073], [-74.005314, 40.736611], [-74.004475, 40.733798], [-74.002106, 40.729622], [-73.994648, 40.725935], [-73.993752, 40.725659], [-73.994845, 40.723191]]",LineString
78,Ok,2730.6,731.4,"[[-73.979769, 40.739083], [-73.979873, 40.739127], [-73.980815, 40.737841], [-73.978651, 40.73693], [-73.971325, 40.746982], [-73.980675, 40.750903], [-73.97977, 40.752139], [-73.979901, 40.752194]]",LineString
79,Ok,3113.3,870,"[[-73.979901, 40.752194], [-73.978265, 40.751512], [-73.979154, 40.750265], [-73.98711, 40.753628], [-73.987825, 40.750684], [-73.987836, 40.749983], [-73.988278, 40.749231], [-73.988008, 40.749007], [-73.98862, 40.746046], [-73.992911, 40.747855], [-73.997007, 40.742228], [-73.997291, 40.742348]]",LineString
80,Ok,1053.3,302.7,"[[-74.007189, 40.70865], [-74.007288, 40.708714], [-74.006435, 40.709557], [-74.010465, 40.711535], [-74.01013, 40.71209], [-74.008846, 40.713806], [-74.011215, 40.714867]]",LineString
